	clade	nuc_rate	nuc_origin	nuc_origin_date	aa_rate	aa_origin	aa_origin_date	syn_rate	syn_origin	syn_origin_date	spike_rate	orf1ab_rate	enm_rate	nuc_div	aa_div	syn_div
0	19A	19.73463896118664	2019.9618231038382	2019-12-18	12.786643679040031	2019.9616896743796	2019-12-18	6.947995282146595	2019.962068658833	2019-12-18	0.33465642341928886	9.141242333763286	2.2496130823763165	2	1	1
1	19B	19.460702288340247	2019.9261946948304	2019-12-05	12.36806459787428	2019.956327416467	2019-12-16	7.092637690465966	2019.8736495819999	2019-11-15	0.31210302307594084	6.531558446879832	2.9855732151493717	0	0	0
2	19B+	18.560016564115948	2019.8646711775834	2019-11-12	11.9159682394986	2019.8909310576882	2019-11-22	6.644048324617386	2019.8175746060328	2019-10-26	0.35890648672898345	7.985298767422981	2.5153099369392784	0	0	0
3	19B++	27.913631426197917	2019.9128058404954	2019-11-30	16.411146350167765	2019.9223575543701	2019-12-03	11.502485076030151	2019.8991779528478	2019-11-25	3.610807530603967	6.9039100744808986	3.2683274766136527	0	0	0
4	20A	15.083358799259896	2020.043733147432	2020-01-17	7.936912704304488	2020.0273652113797	2020-01-11	7.146446094955391	2020.0619115367836	2020-01-23	0.6424309011212618	4.284409965445374	2.2521893361653906	6	3	3
5	20B	14.28643440547235	2020.086761843669	2020-02-01	7.693879497650231	2020.0752047967821	2020-01-28	6.592554907822135	2020.1002495623675	2020-02-06	0.8955562955649929	5.388664466972152	0.20718472273699914	9	5	4
6	20C	16.726535234853078	2020.1187771795753	2020-02-13	9.919416532503744	2020.1104545561745	2020-02-10	6.8071187023493405	2020.1309050080686	2020-02-17	0.9309545137602948	5.6818847627310465	1.9166175179770104	8	5	3
7	20A+	16.300217050584454	2019.9937871102875	2019-12-29	9.39606057400412	2019.9537747955521	2019-12-15	6.904156476580371	2020.048240993863	2020-01-18	0.7829105168200072	5.4225877163184055	1.8613423787092847	6	3	3
8	20E	14.04163841633037	2020.3488193350943	2020-05-07	5.654441657834283	2020.3049847724992	2020-04-21	8.387196758496136	2020.378371518491	2020-05-18	1.4786288314157652	2.5689925906409457	0.43871746919353044	13	5	8
9	20H	15.476661954208172	2020.621010132167	2020-08-15	9.513488655879863	2020.652738508199	2020-08-26	5.963173298328354	2020.5703915218485	2020-07-27	1.2442788617148643	5.019424707994382	0.7120560570652424	21	16	5
10	20I	11.556571599105087	2020.6446617684576	2020-08-23	5.491238323692813	2020.5174694750658	2020-07-08	6.065333275412196	2020.7598150773088	2020-10-05	0.6696723966341468	2.5228700030892877	0.7528599534736312	30	19	11
11	20J	12.968372605144761	2020.8733467026755	2020-11-15	6.285200915157103	2020.8406654837338	2020-11-03	6.683171689987634	2020.904081814196	2020-11-26	0.8150763381014045	4.108810211700566	0.3127066389703258	35	22	13
12	21D	11.36097189605196	2020.7417209683463	2020-09-28	6.29254946291374	2020.5916345463688	2020-08-04	5.068422433138193	2020.9280563116336	2020-12-05	1.05930342138562	3.344073338609907	0.5045370776156506	27	13	14
13	21G	12.038876997092368	2020.7662807067213	2020-10-07	6.509847216149779	2020.8399812396608	2020-11-03	5.529029780942624	2020.679506131761	2020-09-05	0.7804121764320098	2.7968290627439107	0.9208586003990172	28	19	9
14	21H	18.250593047780068	2020.9766789817588	2020-12-23	10.051747179010771	2020.9461835756929	2020-12-12	8.19884586876907	2021.01406620879	2021-01-06	0.852168310338383	8.442997303552653	0.3926404287918425	31	21	10
15	21I	16.55233986378141	2021.0735165188323	2021-01-27	8.929039754288516	2021.082537401121	2021-01-31	7.623300109492972	2021.0629505152099	2021-01-23	1.905388508525627	3.5610899932953926	2.154272619451091	30	24	6
16	21J	14.304871038629345	2021.0811395767455	2021-01-30	7.165745049359382	2020.9821415530002	2020-12-25	7.139125989270094	2021.180506726116	2021-03-07	0.4871740939200913	4.7163732658670385	0.5800878842895746	34	28	6
17	21K	13.481544636572334	2021.7323301442705	2021-09-25	6.447685110876333	2021.6980567247865	2021-09-12	7.033859525695869	2021.7637473506707	2021-10-06	2.258784021532921	3.690414873387226	0.08100921555882926	56	46	10
18	21L	9.237599128127163	2021.7920951688736	2021-10-17	4.389135106431147	2021.7946553801419	2021-10-18	4.8484640216958725	2021.7897775043289	2021-10-16	0.6748953784337512	2.5621387635392723	0.4240005543977356	68	50	18
19	22A	7.713201270910856	2021.886435141934	2021-11-20	2.8120674457667767	2021.5868747784193	2021-08-03	4.90113382514439	2022.058310462286	2022-01-22	0.7699413541372804	1.4596570268690776	0.2317816415651996	71	52	19
20	22B	11.899988286852476	2021.9468816678966	2021-12-12	5.034914141111488	2021.997806356537	2021-12-31	6.865074145740797	2021.9095329911709	2021-11-28	0.4765914396797212	3.1426919145373433	0.5865828067612666	66	50	16
